"f(x) = (x^4) - 3x"


x,f(x)
-3.141600000000000,106.834802176508318893866090
-3.041600000000000,94.711917130389906560594682
-2.941600000000000,83.699391751471495126679656
-2.841600000000000,73.725427639753092989849392
-2.741600000000000,64.720626395234717165294569
-2.641600000000000,56.617989617916308020539873
-2.541600000000000,49.352918907797906911127939
-2.441600000000000,42.863215864879499861217482
-2.341600000000000,37.089082089161095723284234
-2.241600000000000,31.973119180642715519979902
-2.141600000000000,27.460328739324310731717560
-2.041600000000000,23.498112365205908957932479
-1.941600000000000,20.036271658287507335671762
-1.841600000000000,17.027008218569111619444811
-1.741600000000000,14.424923646050709535870737
-1.641600000000000,12.187019540732311639885665
-1.541600000000000,10.272697502613910458535429
-1.441600000000000,8.643759131695510689041839
-1.341600000000000,7.264406027977112323412712
-1.241600000000000,6.101239791458711536620285
-1.141600000000000,5.123262022140313121099098
-1.041600000000000,4.301874320021912723177593
-0.941600000000000,3.610878285103512386200464
-0.841600000000000,3.026475517385111668744457
-0.741600000000000,2.527267616866711641421261
-0.641600000000000,2.094256183548313554609877
-0.541600000000000,1.710842817429913065296887
-0.441600000000000,1.362829118511512893618942
-0.341600000000000,1.038416686793112608810929
-0.241600000000000,0.728207122274712403964259
-0.141600000000000,0.425202024956313429093768
-0.041600000000000,0.124802994837913183712175
0.058400000000000,-0.175188368080487100186815
0.158400000000000,-0.474570463798887343109811
0.258400000000000,-0.770741692317287618863020
0.358400000000000,-1.058700453635686544728856
0.458400000000000,-1.331045147754086777069915
0.558400000000000,-1.577974174672486906700897
0.658400000000000,-1.787285934390886898981421
0.758400000000000,-1.944378826909286983593006
0.858400000000000,-2.032251252227686322271438
0.958400000000001,-2.031501610346086117431241
1.058400000000000,-1.920328301264486059451997
1.158400000000000,-1.674529724982886769168999
1.258400000000000,-1.267504281501284690847342
1.358400000000000,-0.670250370819686525081238
1.458400000000001,0.148633607061919442715592
1.558400000000000,1.222949252143516352120400
1.658400000000001,2.588898164425124104326414
1.758400000000000,4.285081943906720702841540
1.858400000000000,6.352502190588314334718234
1.958400000000001,8.834560504469928687854008
2.058400000000000,11.777058485551521016532206
2.158400000000001,15.228197733833143345805183
2.258400000000000,19.238579849314731973208836
2.358400000000000,23.861206431996315302512812
2.458400000000001,29.151479081877948118517452
2.558400000000000,35.167199398959532175013010
2.658400000000001,41.968568983241162584363337
2.758400000000000,49.618189434722751229855930
2.858400000000000,58.181062353404321640937269
2.958400000000001,67.724589339285969913362351
3.058400000000000,78.318571992367537859536242
3.141600000000000,87.985202176508309435121191
