
"F(x) = Serie de Fourier - Square wave"
,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,,,,
x,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,a0,x,F(X),f(x)
-2.2416,-0.997356983387969,0,-0.181394111124323,0,0.248924028499135,0,-0.00304895086366819,0,-0.137213617882516,0,0.0529510273906549,0,0.0746358749139322,0,-0.0682217760077514,0,-0.0297230438959029,0,0.0659430982335705,0,-0.00304780860133589,0,-0.0532103052659506,0,0.0248034250951237,0,0.0348920466430995,0,-0.0361429709021742,0,-0.0150268790292714,0,0.038176042595143,0,-0.00304552484696006,0,-0.0327398914139226,0,0.0168464878143052,0,0.0222645198353083,0,-0.0249252938673318,0,-0.00946335983841395,0,0.0269209365034803,0,-0.00304210114050104,0,-0.0234814401919537,0,0.0130792828277985,0,0.0160468981634631,0,-2.2416,-0.985600389744932,-1
-2.1416,-1.07138907972846,0,-0.0599024517229114,0,0.24419071451911,0,-0.119493136300589,0,-0.0583113615176942,0,0.115747956957822,0,-0.041143303074318,0,-0.0552052518246171,0,0.0720026788598085,0,-0.0100344144582372,0,-0.0507319343471952,0,0.0468402884870658,0,0.00674989062121589,0,-0.0451025706542519,0,0.0291297230516758,0,0.0166032883345606,0,-0.0385797388577092,0,0.0155680925024946,0,0.0221525154208409,0,-0.0314626943140262,0,0.00491673164750627,0,0.0246342259152921,0,-0.0240707297634509,0,-0.0033569028385561,0,0.0247855772707723,0,-0.0167256508440212,0,-0.00952005201508882,0,0.0231443472927488,0,-2.1416,-0.988563241380213,-1
-2.0416,-1.13471621053845,0,0.0669401152863584,0,0.179670997175907,0,-0.179737832603584,0,0.0647197707168499,0,0.0520546212873507,0,-0.0966474456701851,0,0.0604116459448831,0,0.0111687464046728,0,-0.0594550552257059,0,0.0542714474693304,0,-0.00920681683157242,0,-0.0356186886487782,0,0.0466599086806313,0,-0.0204245139889678,0,-0.0181509789410916,0,0.0380173807055666,0,-0.0261121638176858,0,-0.00483520664783829,0,0.0288330845451464,0,-0.0279170300146373,0,0.00517853916397156,0,0.0196113772851517,0,-0.0268377614243913,0,0.0122877346290575,0,0.0108375926890963,0,-0.0236346278603103,0,0.0167565005806785,0,-2.0416,-0.995874869648545,-1
-1.9416,-1.18670563206005,0,0.187803121161577,0,0.071161553478951,0,-0.155449017752008,0,0.138772270761265,0,-0.0685244083213835,0,-0.0105628539383478,0,0.0637519533891788,0,-0.0748807418246585,0,0.0484768125617656,0,-0.00406552334457945,0,-0.0345717259126817,0,0.0503214793890294,0,-0.0392652765201858,0,0.0105329742019245,0,0.019667273809269,0,-0.0365030498456319,0,0.0333377283509142,0,-0.0139510375981248,0,-0.0103990406880847,0,0.0271780230894967,0,-0.0287853343342993,0,0.0158027378579268,0,0.00402187082732422,0,-0.0202019482697695,0,0.024918388486156,0,-0.0166848102467134,0,0.000605303676093184,0,-1.9416,-1.00419890961564,-1
-1.8416,-1.22683788317883,0,0.291890233548306,0,-0.0547707203555934,0,-0.0580501008937576,0,0.107804682932667,0,-0.114219432962475,0,0.0909963435593037,0,-0.0513923763776824,0,0.00812719622107109,0,0.0281109597536733,0,-0.0501665202219892,0,0.0552754408113286,0,-0.045010775226017,0,0.0243373766203618,0,-2.9640620369467e-05,0,-0.0211495502046881,0,0.0340746658195064,0,-0.0363265134889093,0,0.0284989575065635,0,-0.0137350854088014,0,-0.00332812696791648,0,0.0178957371744934,0,-0.0262736788050651,0,0.0267381102160494,0,-0.0198235611065515,0,0.0079995997749882,0,0.00513536665071634,0,-0.0158985797416498,0,-1.8416,-1.01012787497127,-1
-1.7416,-1.25471197570758,0,0.369903660694606,0,-0.167293211651437,0,0.0666506854726743,0,-0.00474733968685746,0,-0.0350945752450312,0,0.0592456845608165,0,-0.0710226591732002,0,0.0727864528503696,0,-0.0666527725675301,0,0.0547182679753816,0,-0.0390856756438392,0,0.021798711017254,0,-0.00474021190430725,0,-0.0104754145971886,0,0.0225952442346774,0,-0.0307930364807032,0,0.0346986846143829,0,-0.0343888959319357,0,0.0303405250864789,0,-0.0233518489329738,0,0.0144401410477039,0,-0.00472597560252444,0,-0.00468436972552508,0,0.0128072695650173,0,-0.0188710471550412,0,0.0223786412027682,0,-0.0231389895102259,0,-1.7416,-1.01141403119377,-1
-1.6416,-1.27004940092769,0,0.414874695497083,0,-0.23885649018028,0,0.160004613015619,0,-0.113706670276902,0,0.0823819065340261,0,-0.0593000411171433,0,0.04134448804786,0,-0.0268834636392128,0,0.0149853321935435,0,-0.00508208865365599,0,-0.0031917438973069,0,0.0100829789087662,0,-0.0157663895604784,0,0.020372019293305,0,-0.0240018552830639,0,0.0267403353380139,0,-0.0286611170057568,0,0.0298314899541576,0,-0.030315249164538,0,0.0301745308929177,0,-0.0294709303277687,0,0.0282661104155139,0,-0.0266220440559188,0,0.0246009894913615,0,-0.0222652713875737,0,0.0196769220720362,0,-0.0168972252054295,0,-1.6416,-1.00773356902851,-1
-1.5416,-1.27269691235625,0,0.42278620935187,0,-0.251939369501668,0,0.178105870916274,0,-0.136615059719118,0,0.109830801803989,0,-0.0909710676332678,0,0.076871845950979,0,-0.0658588802953566,0,0.0569635694592172,0,-0.0495869226553229,0,0.0433388404935226,0,-0.0379545393741585,0,0.0332481190679413,0,-0.0290853423496498,0,0.0253669503354851,0,-0.0220180438930326,0,0.0189811047561471,0,-0.0162112792202437,0,0.0136731122703498,0,-0.0113382369323402,0,0.00918370790388894,0,-0.00719077908114983,0,0.00534399281453099,0,-0.00363049188466989,0,0.00203949311510704,0,-0.000561879979299804,0,-0.000810116034734726,0,-1.5416,-1.00073530267096,-1
-1.4416,-1.26262805693421,0,0.392931490288795,0,-0.203338704476358,0,0.112441154744004,0,-0.05613589559769,0,0.0172557448886748,0,0.0106307330558889,0,-0.0304690895086543,0,0.0438545718922624,0,-0.0518167875884826,0,0.0551496181369245,0,-0.0545595165245036,0,0.0507310948924974,0,-0.0443510068871056,0,0.0361092819878225,0,-0.0266881681877759,0,0.016744410496656,0,-0.00688884795636504,0,-0.00233391711264764,0,0.0104637413725334,0,-0.0171395506925637,0,0.0221092852787628,0,-0.0252345383656319,0,0.0264896341988642,0,-0.02595525277852,0,0.0238070373954275,0,-0.0202999057531098,0,0.0157490157104589,0,-1.4416,-0.993372424024044,-1
-1.3416,-1.23994343933663,0,0.327977371446909,0,-0.104953632909996,0,-0.00610639344587778,0,0.0668257951564671,0,-0.0941765238963644,0,0.0966584849130097,0,-0.0811824422093889,0,0.0545580400193461,0,-0.0234599158277398,0,-0.00609721711786897,0,0.0293645546922715,0,-0.0433312461915014,0,0.0469449005261368,0,-0.0410358620178808,0,0.0279632235301391,0,-0.0110514893559626,0,-0.00607888928321145,0,0.0201700695747354,0,-0.0288650480405848,0,0.031042685274153,0,-0.0269064743739051,0,0.0178294484572497,0,-0.00600033514122065,0,-0.00605145950469734,0,0.0159575673957071,0,-0.0219456135734596,0,0.0231318188524159,0,-1.3416,-0.988762022387748,-1
