
"F(x) = ((2*(PI^4)/5)/2) + suma((((8(PI^2)*(n^2)-48)*((-1)^n)/(n^4))*cos(nx))+(((6*((-1)^n))/n)*sin(nx))) desde n=1 hasta infinito"
,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,,,,
x,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,a0,x,F(X),f(x)
-2.241600000000000,23.943189554824400033794518,-0.881390881798217673548379,-6.540785229434789016522700,-4.920986071022395158536256,-1.822699144450198760480930,0.595664191507257911872841,1.605516567900378444022635,1.338675314023911822047808,0.411046806851791457493306,-0.467691180949306950509481,-0.826863745021212293018209,-0.596610219421761955871375,-0.050278367402911881833827,0.415731661308334221605065,0.529723593062244701989982,0.282224133632695162177129,-0.110177558393405081171856,-0.371832463741546770386037,-0.349603895769282246863696,-0.095203827344155986245333,0.192930048918587504491740,0.316621029980250878743675,0.209621789814605663515579,-0.031228266918397154516818,-0.227112758863483810145567,-0.246580296904898882415225,-0.091626189623143325380106,0.114763765155927927041901,0.223582611145085319304116,0.165694565432385171321883,-0.005603861641460991006858,-0.160713012180223324687489,-0.190397509241852835870645,-0.081801538663669876028095,0.078548112810265427463641,0.172495796903543663347591,0.136531796834224450343243,0.004101911167958952920964,-0.123835389818911026371673,-0.155087913081825568006877,-0.072186724293454435086304,0.058862853048029878388903,0.140501768004340998885482,0.115813466804501385976067,0.007860567731351535483708,-0.100796115586154796939233,-0.130850239910738963544645,-0.063852825169198268451254,0.046986131282586662827327,0.118682198679637390670294,38.963636413600966079684440,-2.241600000000000,31.991393216978181612830667,31.973119180642715519979902
-2.141600000000000,21.775042906900448969054196,-4.237834527045448496096469,-7.816214727747014201497677,-4.238324305078034370808382,-0.276732690867653119415337,1.790842844441217884821071,1.762891077188464050706784,0.564297757350446516078080,-0.606669706589372914606884,-0.984883824120166506688179,-0.542628446177980339193425,0.192391859812070353807911,0.616336184270929399175998,0.479493402348672159707377,-0.005695128664138012636320,-0.402596787585629445338498,-0.414355788003851144285505,-0.089769092896893928901214,0.263172971997891413931114,0.354321766832973505945148,0.141161183538059592512681,-0.165292818116263284800027,-0.300188519698425249071505,-0.168350975470518970933398,0.093286600191320859232214,0.251455763515307739730531,0.180946681054257291210163,-0.038769825111701572417644,-0.207464062299419021995206,-0.184108899550316368332048,-0.003139998366944030897679,0.167651392301397805795204,0.180858222525484585441191,0.035485593120722157267632,-0.131588175074352026205915,-0.173099138450309941728023,-0.060275837453426607537299,0.098958182204008218740832,0.162114986936617078150391,0.078907600169381739152463,-0.069530503365842030727428,-0.148823882240597366033441,-0.092400366722478824432763,0.043134352703610524815137,0.133918301519928895082501,0.101533240388383877439438,-0.019638972914292389393420,-0.117944502488922117744430,-0.106928092545664862877963,-0.001061705121056200247509,38.963636413600966079684440,-2.141600000000000,27.345709778345362650497918,27.460328739324310731717560
-2.041600000000000,19.389327228122951396471763,-7.425329082959563287147375,-8.393445043080580703076521,-2.886524323661127322537823,1.336987576829300472525119,2.360428568939718640962155,1.091150366941886939997630,-0.552375246792682794705343,-1.165270680979380246711230,-0.596578821419404770054484,0.334595427898174480052518,0.736039584023946202862021,0.380016782065753899733096,-0.252735414034895411461434,-0.530529307991921994513973,-0.258712865877626430055614,0.216952482320964368245342,0.412623915631291415806459,0.179441743514523355251811,-0.199695937430518388744360,-0.335459396178377666775106,-0.122071013708838896349995,0.190395035262489992211599,0.279510169552796949865581,0.077640830544771638477286,-0.184358934547239200485436,-0.235551517440057839314349,-0.041704174427805530689373,0.179295239384364007984018,0.198838292791970849826555,0.011878427121886943676476,-0.174018005998180874671633,-0.166790162689331611378663,0.013186724080218654997498,0.167905140223273713351304,0.137960421627465995575434,-0.034291917522979574461939,-0.160647365074185588529332,-0.111533622205637311664006,0.051933014105082012101811,0.152122320991849580007482,0.087062184436743017545979,-0.066433787039829855780582,-0.142326675626624959969391,-0.064319398585962764269830,0.078021696631233358742996,0.131336841163122858278101,0.043212777029093429881357,-0.086872955079644612053080,-0.119284529869549987823873,38.963636413600966079684440,-2.041600000000000,23.412820817813408069696379,23.498112365205908957932479
-1.941600000000000,16.809879800941502026034868,-10.316799200316996376614043,-8.220913910503631072401731,-1.079005620451611635601807,2.623366656646565875377064,2.105448684351252097712859,-0.093775410572256093222343,-1.333984838385962712337118,-0.842018035471282288995098,0.340217998430163703904583,0.846170822860666249631834,0.341027441933654751338167,-0.413028096150381385243122,-0.565406834815113557013433,-0.069361188635961190662726,0.417705371779278356036968,0.358449522262244302250878,-0.097728943006892735057001,-0.379196259073975583397953,-0.188116101566920490562040,0.197549555286089778549652,0.308970674020552504845938,0.046477226566178808653262,-0.243867109445681407020601,-0.217689511584730044368996,0.064494431677914784706296,0.244964448800547712759013,0.117359034801741868303537,-0.140712291005977513380643,-0.209587936251471179671668,-0.020596309767930882222986,0.179791140263010101874031,0.148545600425560364588051,-0.060983395134323652164721,-0.182883607710813189672905,-0.074335199980566535327142,0.118441790130725879692797,0.155175575351608557861383,-0.000183268209565558558597,-0.146798966933393448819345,-0.105356602450828881756273,0.063457526141251593965187,0.145653580409881466817268,0.044348978686024428941259,-0.106801783432260197215236,-0.119033901254289573024003,0.016384797063395007549191,0.125506650612204145867068,0.074522331164372943024254,-0.066611315748445365514385,38.963636413600966079684440,-1.941600000000000,20.080952209545607445306814,20.036271658287507335671762
-1.841600000000000,14.062473611396542949592003,-12.796971090100306867043400,-7.314033022248212390081790,0.898864345045401469391777,3.267454085806048347251362,1.114975000179909914166387,-1.234597147213055023939887,-1.306417127349105644640304,0.118457072354116385581868,0.964219959518725189262511,0.433044178728000939138099,-0.488891707875939107719176,-0.600985845884295155627797,0.060534245455308999250832,0.520716475215014629185362,0.234319271240352511309624,-0.309320977173667743809204,-0.368215474504677287015397,0.065738645190048169975050,0.356263778571827893770774,0.135995149275146165468442,-0.241588160011625752154885,-0.252328358455758905432020,0.080141978312111741833412,0.271160294210503693967951,0.073829828227786567507174,-0.207379550450221578072885,-0.179452434511219394153159,0.093956256393954232231103,0.216142675741887946294639,0.029278566988227804068767,-0.184951106119307762121196,-0.126581387969084080413751,0.104730548306226439736477,0.174620014650042426618270,-0.004638989202555702726083,-0.166609054408431711546967,-0.084830374487546308936992,0.111799702832948738562280,0.139975402465680881514132,-0.030999324963604364679970,-0.149283662209260398201494,-0.050321881837700192796614,0.115066877826248969984846,0.109346133224434816089143,-0.051321790998019346796699,-0.131742812636575279405804,-0.021249368342178821117416,0.114671628200366748639993,0.081494307065980750581780,38.963636413600966079684440,-1.841600000000000,17.128377590270979169417842,17.027008218569111619444811
-1.741600000000000,11.174559833962257826556197,-14.766968125698829439329529,-5.753811347143068744003358,2.734823394694154252704266,3.111554798315111280970768,-0.264991529586446450394988,-1.794768554406990679339629,-0.486394317274381149385221,0.989286229446240894525033,0.701722536553940234860249,-0.453316503106775625653313,-0.695334844830036824525621,0.091502076562368833689831,0.585984500310435363346073,0.143029241273922830268717,-0.431389393351686911692866,-0.278740912504366000757017,0.265047597218636299398753,0.336691022814605611657157,-0.108399987291075319828515,-0.334862797998155492518180,-0.024620869855541925586007,0.289763442889765354681941,0.125674727128891772220953,-0.216787165408416360179444,-0.191022330621016200868922,0.130007699971587037390819,0.220809150965957629031422,-0.041742897619220557803299,-0.218371318107752759862805,-0.037910181087206167027670,0.189480305769722412456701,0.101447519307349506845206,-0.141523214486308640536194,-0.144164553196884231978103,0.082655305201918896629287,0.164160498523339470899884,-0.020979400933096272602318,-0.162134763563262701557832,-0.036189090865623212145419,0.140994911081722712475894,0.082918335553668690018903,-0.105315643253769575249379,-0.115076646289619666241322,0.060702372296842152521457,0.130545638348810860707161,-0.013120562324575483353906,-0.129225246869546200878531,-0.031746977001983096855486,0.112845022238739309261568,38.963636413600966079684440,-1.741600000000000,14.449115192554838671412654,14.424923646050709535870737
-1.641600000000000,8.174993548485401717584864,-16.148252741988383007765151,-3.679618840693258619012340,4.139013963633280113185720,2.193838376929269085024998,-1.552388894214078440825233,-1.510832266431068271472782,0.628668758882313216673765,1.111443291039247993623462,-0.205935350359254837337986,-0.844289393902878271269685,-0.015028238088056644627954,0.649939242478597023477960,0.138661977147870735249668,-0.500481498646270561714289,-0.209126542816928856494130,0.381149440995863952874600,0.247776735941789866268792,-0.283436035055176671626498,-0.266043154985967034154015,0.202113209014410155628383,0.270566978847196826230004,-0.133796509226113857771168,-0.265485486286524741128545,0.076195012788434143824468,0.253539945275160660820291,-0.027693129133825256787960,-0.236650195617188641161732,-0.012895041833186115035059,0.216229257056960499916443,0.046476221966679623354146,-0.193363292612504289458286,-0.073773358077810283206510,0.168918227640569101888346,0.095387705172981965273671,-0.143604691986418953053573,-0.111839993598049053380450,0.118018431994316164157510,0.123598022175899921459852,-0.092665865687341600342997,-0.131095177494601172751842,0.067980439623770108625855,0.134742727084060570641455,-0.044333205882887742610432,-0.134937743415749378250723,0.022039744555681872045794,0.132067905098741306124666,-0.001364787129415886979267,-0.126514036005654723071601,-0.017474575812206859931619,38.963636413600966079684440,-1.641600000000000,12.112257323648179863084806,12.187019540732311639885665
-1.541600000000000,5.093745429765662358079226,-16.885757480213175796279756,-1.276736942033591226675071,4.889745236377629922230881,0.738993808082894942934615,-2.297492155583817918795830,-0.516327956147249467200311,1.362389801814909207067217,0.392482228308857150622657,-0.924257225871680354600812,-0.312616285763419099463789,0.684443647615378791826402,0.256213895517983125671435,-0.538848540140990928115627,-0.213834562675313671897825,0.443602183653235393467895,0.180522898552098298718960,-0.377638384063017251701666,-0.153427196801612208965082,0.329826021955935966278872,0.130790665479951467853326,-0.293837068832414727292957,-0.111472631233155053398498,0.265859931181297470814684,0.094700869344473234678894,-0.243488724651111126950909,-0.079934526821240539651292,0.225145051502288584543976,0.066783989934972642910083,-0.209759365956006832432124,-0.054961872950416379435268,0.196586823921348463617420,0.044251878012811364515589,-0.185096459866948975792056,-0.034488355592239457181325,0.174902127125870304746869,0.025542505710654681005956,-0.165718137303448365127423,-0.017312830502197399523689,0.157329994822295704537396,0.009718383516129467866729,-0.149574627883771099634558,-0.002693903664410203166457,0.142326749088284465472043,-0.003813753303423740581568,-0.135489264438656664690797,0.009848272663541633026307,0.128986411896675923216549,-0.015445888239271938699448,-0.122758774968605433031144,38.963636413600966079684440,-1.541600000000000,10.203774097144480137444589,10.272697502613910458535429
-1.441600000000000,1.961602290480081611789842,-16.950080353790966114502226,1.240192065214591021771184,4.868493252044421737423363,-0.896782218292251576130525,-2.240015307743787875693897,0.721013459759487385092314,1.269703472458889592644482,-0.623501560067510673945890,-0.792821270348260553895159,0.560686324469365504619134,0.511055164519522153732112,-0.512865408621791640797483,-0.321835070795330469017870,0.470229381479294050727447,0.183220599107961568119407,-0.427668204141279373331486,-0.076176272150528120952195,0.382638859053326674253270,-0.008468956309817294789144,-0.334171524985563572762715,0.075279907750628496931888,0.282339591665354550098499,-0.126601398648108265376777,-0.227933006512571229018604,0.163745554176210700303429,0.172226286902623759722530,-0.187623199215715824594852,-0.116793878824074950917300,0.199091139719267562480098,0.063352456412552188291798,-0.199139906009025979827243,-0.013622310558440608313502,0.188983618063876451786953,-0.030794002716952106196713,-0.170085217083318307462747,0.068514793791710090764546,0.144136959776938355926035,-0.098462136298525140820637,-0.113009629284854043462794,0.119922458361271064286591,0.078680720212283394854325,-0.132583298367343366264137,-0.043150170661112513537105,0.136545589768603703451078,0.008351182203052092897777,-0.132311918970180047994134,0.023937146966336926567909,0.120752337578968763076581,-0.052169468972560771591329,38.963636413600966079684440,-1.441600000000000,8.667847129367229896956815,8.643759131695510689041839
-1.341600000000000,-1.190140530472461932731676,-16.338657012734771001305489,3.646338408880676063006376,4.078613231671118555254907,-2.312994681256180573569736,-1.400036667263806045014007,1.619250979395252976189568,0.406832054472096582564689,-1.167631798249406882561630,0.067530904850733583510980,0.821266569994752004824079,-0.314074043957376036750873,-0.530595687614783040331190,0.429445765204632623479597,0.280359983850873628608014,-0.454302091592652113050121,-0.070317511574382193795252,0.412253201260038726339019,-0.093979105215378291870998,-0.322777363201564193584403,0.206619719834359810706204,0.205232449196166760740923,-0.264759568335969530661345,-0.079149779697603769856862,0.270513276535456648197453,-0.037134722924408447575217,-0.231475449402160471379375,0.128420488355257933488218,0.160019950632482116370525,-0.184438102967403455556550,-0.071633459165458462925002,0.201013831720788876955552,-0.017348365821057927516069,-0.180321580875617032413416,0.092162855137718560638582,0.130148572701102582804822,-0.141757303285416608185088,-0.062297225250682493336019,0.160266521461510824675400,-0.009593948265881734743799,-0.147586985102523299273614,0.072426478853866868568012,0.108972456098936965052104,-0.115803817509607734348442,-0.053752720204615425658723,0.133616052064722046210932,-0.006569936991039788606872,-0.124797459844685848517898,0.060489497429608005130142,0.093161763802181218885323,38.963636413600966079684440,-1.341600000000000,7.342846301427927713234567,7.264406027977112323412712
