
"F(x) = Serie de Fourier - Square wave"
,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,,,,
x,1,2,3,4,5,6,7,8,9,10,a0,x,F(X),f(x)
-0.8416,-0.949467597005566,0,-0.24548983061534,0,0.222936586224192,0,0.0694868468489998,0,-0.135977876757877,0,0,-0.8416,-1.03851187130559,-1
-0.7416,-0.860033329856188,0,-0.336837412770918,0,0.136645064664755,0,0.161436468684419,0,-0.0539445585312422,0,0,-0.7416,-0.952733767809174,-1
-0.6416,-0.762005893964108,0,-0.398096312030103,0,0.0168980656121503,0,0.17745999678315,0,0.0689129261239153,0,0,-0.6416,-0.896831217474996,-1
-0.5416,-0.656364747065198,0,-0.423794453366464,0,-0.10698616924295,0,0.110021315505826,0,0.139618482173894,0,0,-0.5416,-0.937505571994891,-1
-0.4416,-0.544165420578952,0,-0.411636298349942,0,-0.204676458594281,0,-0.00916210958436385,0,0.10466355442431,0,0,-0.4416,-1.06497673268323,-1
-0.3416,-0.426528973087453,0,-0.362707898758124,0,-0.252254812540685,0,-0.124036451375116,0,-0.00949866468431399,0,0,-0.3416,-1.17502680044569,-1
-0.2416,-0.304630789088598,0,-0.281379882805482,0,-0.23807239068298,0,-0.180574511961136,0,-0.11647248373037,0,0,-0.2416,-1.12113005826857,-1
-0.1416,-0.179688834942721,0,-0.174917039941804,0,-0.165601544521185,0,-0.152185558017253,0,-0.135302249147767,0,0,-0.1416,-0.80769522657073,-1
-0.0416,-0.0529514893553281,0,-0.0528293788470103,0,-0.0525856647048283,0,-0.0522213581729157,0,-0.0517379698690167,0,0,-0.0416,-0.262325860949099,-1
0.0584,0.0743149300102684,0,0.0739773733210253,0,0.0733050198204422,0,0.0723033624013738,0,0.0709805735304312,0,0,0.0584,0.364881259083541,1
0.1584,0.200838819160452,0,0.194175947053495,0,0.181248078891725,0,0.162822681867095,0,0.139982433989186,0,0,0.1584,0.879067960961954,1
0.2584,0.325355993218072,0,0.297029361740426,0,0.244815287002574,0,0.176763949876137,0,0.103048379170506,0,0,0.2584,1.14701297100771,1
0.3584,0.446622317739848,0,0.373350028171141,0,0.248443174623567,0,0.107570370245526,0,-0.011870634576143,0,0,0.3584,1.16411525620394,1
0.4584,0.563426139696479,0,0.416320448515503,0,0.19124350833808,0,-0.0122152353449568,0,-0.117806188734964,0,0,0.4584,1.04096867247014,1
0.5584,0.674600393909182,0,0.422102203100854,0,0.0872207613609035,0,-0.126255824884389,0,-0.134588367907114,0,0,0.5584,0.923079165579436,1
0.6584,0.779034263979187,0,0.390178825009605,0,-0.0381566699278192,0,-0.18091632717901,0,-0.0495167534737198,0,0,0.6584,0.900623338408243,1
0.7584,0.875684281198003,0,0.323401934530805,0,-0.154192017657825,0,-0.150489053905751,0,0.0730281527957839,0,0,0.7584,0.967433296961016,1
0.8584,0.963584750541826,0,0.227736512412573,0,-0.23247578183058,0,-0.0492844271242862,0,0.140306808958225,0,0,0.8584,1.04986786295776,1
0.9584,1.04185739957701,0,0.111728065897069,0,-0.253841366734871,0,0.0750994358241475,0,0.101404069333576,0,0,0.9584,1.07624760389693,1
1.0584,1.10972015386788,0,-0.0142607159907716,0,-0.213057732035303,0,0.16416286064343,0,-0.0142392483163031,0,0,1.0584,1.03232531816893,1
1.1584,1.16649495120602,0,-0.138975630591151,0,-0.120110133885317,0,0.176017926986652,0,-0.119106586721767,0,0,1.1584,0.964320526994436,1
1.2584,1.21161451658367,0,-0.251276266015165,0,0.00224461402715935,0,0.105089011912074,0,-0.133836434869587,0,0,1.2584,0.933835441638156,1
1.3584,1.24462803021813,0,-0.341131140959887,0,0.124049802142135,0,-0.0152649075258583,0,-0.0472815373437183,0,0,1.3584,0.965000246530806,1
