"f(x) = Triangle wave"


x,f(x)
-3.1416,4.67686999387506e-06
-3.0416,-0.0636573003667646
-2.9416,-0.127319277603523
-2.8416,-0.190981254840281
-2.7416,-0.254643232077039
-2.6416,-0.318305209313797
-2.5416,-0.381967186550555
-2.4416,-0.445629163787313
-2.3416,-0.509291141024072
-2.2416,-0.57295311826083
-2.1416,-0.636615095497588
-2.0416,-0.700277072734346
-1.9416,-0.763939049971104
-1.8416,-0.827601027207862
-1.7416,-0.89126300444462
-1.6416,-0.954924981681378
-1.5416,-0.981413041081863
-1.4416,-0.917751063845105
-1.3416,-0.854089086608347
-1.2416,-0.790427109371589
-1.1416,-0.726765132134831
-1.0416,-0.663103154898073
-0.9416,-0.599441177661314
-0.8416,-0.535779200424556
-0.7416,-0.472117223187798
-0.6416,-0.40845524595104
-0.5416,-0.344793268714282
-0.4416,-0.281131291477524
-0.3416,-0.217469314240766
-0.2416,-0.153807337004007
-0.1416,-0.0901453597672495
-0.0416,-0.0264833825304913
0.0584,0.0371785947062669
0.1584,0.100840571943025
0.2584,0.164502549179783
0.3584,0.228164526416541
0.4584,0.291826503653299
0.5584,0.355488480890058
0.6584,0.419150458126816
0.7584,0.482812435363574
0.8584,0.546474412600332
0.9584,0.610136389837091
1.0584,0.673798367073849
1.1584,0.737460344310606
1.2584,0.801122321547364
1.3584,0.864784298784122
1.4584,0.928446276020881
1.5584,0.992108253257639
1.6584,0.944229769505603
1.7584,0.880567792268845
1.8584,0.816905815032087
1.9584,0.753243837795328
2.0584,0.68958186055857
2.1584,0.625919883321812
2.2584,0.562257906085054
2.3584,0.498595928848296
2.4584,0.434933951611537
2.5584,0.371271974374779
2.6584,0.307609997138022
2.7584,0.243948019901264
2.8584,0.180286042664506
2.9584,0.116624065427747
3.0584,0.0529620881909887
3.1416,-4.67686999387506e-06
